SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,4343 N Clarendon Ave #708,Chicago,IL,60613,139000,0,1.0,CHI - Uptown,600,,1974,59,232,478,Active,,,http://www.redfin.com/IL/Chicago/4343-N-Clarendon-Ave-60613/unit-708/home/13397134,MRED,11185219,N,Y,41.9612878,-87.6494037
MLS Listing,,Condo/Co-op,3900 N Pine Grove Ave #610,Chicago,IL,60613,240000,1,1.0,CHI - Lake View,,,1976,59,,455,Active,,,http://www.redfin.com/IL/Chicago/3900-N-Pine-Grove-Ave-60613/unit-610/home/12613593,MRED,11185149,N,Y,41.9531669,-87.6482047
MLS Listing,,Condo/Co-op,4170 N Marine Dr Unit 11H,Chicago,IL,60613,204900,1,1.0,Buena Park,957,,1972,63,214,601,Active,,,http://www.redfin.com/IL/Chicago/4170-N-Marine-Dr-60613/unit-11H/home/13396869,MRED,11182257,N,Y,41.9576338,-87.647048
MLS Listing,,Condo/Co-op,4011 N Kenmore Ave #203,Chicago,IL,60613,300000,2,1.0,CHI - Uptown,,,1896,65,,280,Active,,,http://www.redfin.com/IL/Chicago/4011-N-Kenmore-Ave-60613/unit-203/home/13392895,MRED,11179482,N,Y,41.9549492,-87.6556846
MLS Listing,,Parking,655 W Irving Park Rd Unit C14,Chicago,IL,60613,24000,,,CHI - Lake View,,,1973,65,,57,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-C14/home/12668509,MRED,11179060,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,4250 N Marine Dr #1833,Chicago,IL,60613,169900,1,1.0,CHI - Uptown,907,,1963,65,187,552,Active,,,http://www.redfin.com/IL/Chicago/4250-N-Marine-Dr-60613/unit-1833/home/13397194,MRED,11178759,N,Y,41.9598845,-87.647122
MLS Listing,,Parking,655 W Irving Park Rd Unit V-80,Chicago,IL,60613,17500,,,CHI - Lake View,,,,67,,70,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-V80/home/12682323,MRED,11176397,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #1010,Chicago,IL,60613,259900,2,2.0,CHI - Lake View,1150,,1973,67,226,798,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-1010/home/12589778,MRED,11176370,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,3930 N Pine Grove Ave #316,Chicago,IL,60613,219000,2,1.0,CHI - Lake View,,,1968,67,,724,Active,,,http://www.redfin.com/IL/Chicago/3930-N-Pine-Grove-Ave-60613/unit-316/home/13380297,MRED,11175705,N,Y,41.9542371,-87.648457
MLS Listing,,Condo/Co-op,4170 N Marine Dr Unit 6H,Chicago,IL,60613,179000,1,1.0,The Waterford,1000,,1974,70,179,595,Active,,,http://www.redfin.com/IL/Chicago/4170-N-Marine-Dr-60613/unit-6H/home/13396421,MRED,11173964,N,Y,41.9576338,-87.647048
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #1907,Chicago,IL,60613,149000,1,1.0,Park Place Tower,600,,1976,70,248,625,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-1907/home/12682717,MRED,11173801,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,4250 N Marine Dr #528,Chicago,IL,60613,169500,1,1.0,Imperial Towers,900,,1962,71,188,525,Active,,,http://www.redfin.com/IL/Chicago/4250-N-Marine-Dr-60613/unit-528/home/13396292,MRED,11172058,N,Y,41.9598845,-87.647122
MLS Listing,,Condo/Co-op,3808 N Pine Grove Ave Unit 1S,Chicago,IL,60613,364000,2,2.0,CHI - Lake View,,,1906,73,,385,Active,,,http://www.redfin.com/IL/Chicago/3808-N-Pine-Grove-Ave-60613/unit-1S/home/13379048,MRED,11170539,N,Y,41.9519886,-87.6481881
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #701,Chicago,IL,60613,269900,2,2.0,CHI - Lake View,1150,,1973,77,235,738,Active,October-9-2021 12:00 PM,October-9-2021 02:00 PM,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-701/home/12686513,MRED,11167128,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,4324 N Dayton St Unit I,Chicago,IL,60613,475000,3,2.0,CHI - Uptown,1718,,1989,78,276,325,Active,,,http://www.redfin.com/IL/Chicago/4324-N-Dayton-St-60613/unit-I/home/13393367,MRED,11164529,N,Y,41.9612354,-87.6515044
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #702,Chicago,IL,60613,299900,2,2.0,CHI - Lake View,1150,,1976,79,261,850,Active,,,http://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-702/home/12683780,MRED,11164283,N,Y,41.9543355,-87.6469625
MLS Listing,,Condo/Co-op,3950 N Lake Shore Dr #320,Chicago,IL,60613,219000,3,2.0,CHI - Lake View,1400,,1957,79,156,791,Active,,,http://www.redfin.com/IL/Chicago/3950-N-Lake-Shore-Dr-60613/unit-320/home/13380231,MRED,11163021,N,Y,41.954247,-87.6458578
MLS Listing,,Condo/Co-op,4021 N Clarendon Ave Unit 1W,Chicago,IL,60613,379000,3,2.0,CHI - Uptown,1938,,1914,80,196,598,Active,,,http://www.redfin.com/IL/Chicago/4021-N-Clarendon-Ave-60613/unit-1W/home/13394888,MRED,11162592,N,Y,41.9552071,-87.6493592
MLS Listing,,Condo/Co-op,3900 N Lake Shore Dr Unit 20J,Chicago,IL,60613,139900,1,1.0,CHI - Lake View,650,,1960,80,215,715,Active,,,http://www.redfin.com/IL/Chicago/3900-N-Lake-Shore-Dr-60613/unit-20J/home/13379318,MRED,11162504,N,Y,41.9532673,-87.6452796
