SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1633 W Pratt Blvd Unit 3S,Chicago,IL,60626,249900,3,1.0,CHI - Rogers Park,1250,,1926,1,200,358,Active,,,http://www.redfin.com/IL/Chicago/1633-W-Pratt-Blvd-60626/unit-3S/home/12626487,MRED,11237240,N,Y,42.005079,-87.671362
MLS Listing,,Condo/Co-op,4941 N Troy St #3,Chicago,IL,60625,350000,3,1.5,CHI - Albany Park,1900,,1920,1,184,225,Active,October-9-2021 01:00 PM,October-9-2021 03:00 PM,http://www.redfin.com/IL/Chicago/4941-N-Troy-St-60625/unit-3/home/12796126,MRED,11240396,N,Y,41.9714887,-87.7070817
MLS Listing,,Single Family Residential,5025 N Sawyer Ave,Chicago,IL,60625,509000,4,2.0,CHI - Albany Park,1800,3750,1911,1,283,,Active,,,http://www.redfin.com/IL/Chicago/5025-N-Sawyer-Ave-60625/home/13493454,MRED,11240277,N,Y,41.9728647,-87.7096125
MLS Listing,,Multi-Family (2-4 Unit),1310 W Winona St,Chicago,IL,60640,1125000,9,5.0,CHI - Uptown,,3920,1906,1,,,Active,October-9-2021 11:00 AM,October-9-2021 01:00 PM,http://www.redfin.com/IL/Chicago/1310-W-Winona-St-60640/home/13399526,MRED,11239055,N,Y,41.975637,-87.662807
MLS Listing,,Condo/Co-op,1336 W Granville Ave #1,Chicago,IL,60660,494000,3,3.0,CHI - Edgewater,2400,,1920,2,206,325,Active,October-10-2021 11:00 AM,October-10-2021 01:00 PM,http://www.redfin.com/IL/Chicago/1336-W-Granville-Ave-60660/unit-1/home/12700595,MRED,11235739,N,Y,41.9947805,-87.6645669
MLS Listing,,Condo/Co-op,5455 N Sheridan Rd #2202,Chicago,IL,60640,305000,2,2.0,CHI - Edgewater,,,1969,3,,1030,Active,,,http://www.redfin.com/IL/Chicago/5455-N-Sheridan-Rd-60640/unit-2202/home/13400416,MRED,11238133,N,Y,41.9817637,-87.6547271
MLS Listing,,Condo/Co-op,6334 N Sheridan Rd Unit 2E,Chicago,IL,60660,300000,2,2.0,CHI - Edgewater,1950,,1928,4,154,889,Active,October-9-2021 11:00 AM,October-9-2021 01:00 PM,http://www.redfin.com/IL/Chicago/6334-N-Sheridan-Rd-60660/unit-2E/home/13415084,MRED,11233627,N,Y,41.997615,-87.656029
MLS Listing,,Condo/Co-op,1465 W Winnemac Ave Unit 3W,Chicago,IL,60640,379000,2,2.0,CHI - Uptown,1400,,,7,271,326,Active,October-9-2021 11:00 AM,October-9-2021 01:00 PM,http://www.redfin.com/IL/Chicago/1465-W-Winnemac-Ave-60640/unit-3W/home/172412226,MRED,11232926,N,Y,41.97317,-87.667074
MLS Listing,,Condo/Co-op,906 W Winona St Unit 1N,Chicago,IL,60640,235000,2,1.0,CHI - Uptown,,,1908,10,,332,Active,,,http://www.redfin.com/IL/Chicago/906-W-Winona-St-60640/unit-1N/home/26807653,MRED,11230356,N,Y,41.9756259,-87.6528909
MLS Listing,,Condo/Co-op,4802 N Kenmore Ave #3,Chicago,IL,60640,349900,2,2.0,CHI - Uptown,,,1920,16,,273,Active,,,http://www.redfin.com/IL/Chicago/4802-N-Kenmore-Ave-60640/unit-3/home/52639143,MRED,11226084,N,Y,41.969312,-87.6564476
MLS Listing,,Condo/Co-op,1438 W Summerdale Ave #1,Chicago,IL,60640,334000,2,1.0,CHI - Edgewater,1200,,1918,16,278,353,Active,October-9-2021 12:00 PM,October-9-2021 02:00 PM,http://www.redfin.com/IL/Chicago/1438-W-Summerdale-Ave-60640/unit-1/home/18943035,MRED,11222413,N,Y,41.979224,-87.666459
