SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,340 N Austin Blvd #3,Oak Park,IL,60302,179900,2,1.0,Oak Park,1000,,1893,49,180,360,Active,,,http://www.redfin.com/IL/Oak-Park/340-N-Austin-Blvd-60302/unit-3/home/13267174,MRED,11193193,N,Y,41.8867959,-87.775207
MLS Listing,,Multi-Family (2-4 Unit),1302 S Komensky Ave,Chicago,IL,60623,249900,6,3.0,CHI - North Lawndale,,3049,1900,91,,,Active,,,http://www.redfin.com/IL/Chicago/1302-S-Komensky-Ave-60623/home/13235860,MRED,11147079,N,Y,41.8641309,-87.7265928
MLS Listing,,Multi-Family (2-4 Unit),1315 S Millard Ave,Chicago,IL,60623,218000,8,4.0,CHI - North Lawndale,,,1904,99,,,Active,,,http://www.redfin.com/IL/Chicago/1315-S-Millard-Ave-60623/unit-1/home/13235023,MRED,11136732,N,Y,41.8639703,-87.7162906
MLS Listing,,Single Family Residential,1232 S Spaulding Ave,Chicago,IL,60623,464900,4,3.5,CHI - North Lawndale,3000,3127,2006,1,155,,Active,,,http://www.redfin.com/IL/Chicago/1232-S-Spaulding-Ave-60623/home/12740188,MRED,11241962,N,Y,41.8653558,-87.7083472
MLS Listing,,Multi-Family (2-4 Unit),3823 W Arthington St,Chicago,IL,60624,260000,5,3.0,CHI - West Garfield Park,,,1900,1,,,Active,,,http://www.redfin.com/IL/Chicago/3823-W-Arthington-St-60624/unit-1/home/13256716,MRED,11241860,N,Y,41.869607,-87.721251
MLS Listing,,Multi-Family (2-4 Unit),2910 W Polk St,Chicago,IL,60612,199900,11,3.0,CHI - East Garfield Park,,,,1,,,Active,,,http://www.redfin.com/IL/Chicago/2910-W-Polk-St-60612/home/13258927,MRED,11241795,N,Y,41.8712211,-87.6990338
MLS Listing,,Single Family Residential,919 Lyman Ave,Oak Park,IL,60304,329000,3,1.5,Oak Park,1700,3149,1917,1,194,,Active,October-10-2021 01:00 PM,October-10-2021 03:00 PM,http://www.redfin.com/IL/Oak-Park/919-Lyman-Ave-60304/home/13250696,MRED,11234641,N,Y,41.8720097,-87.7771115
MLS Listing,,Condo/Co-op,738 S Kedzie Ave #2,Chicago,IL,60612,169000,3,2.0,CHI - East Garfield Park,1800,,2008,1,94,162,Active,,,http://www.redfin.com/IL/Chicago/738-S-Kedzie-Ave-60612/unit-2/home/26811651,MRED,11241669,N,Y,41.8716393,-87.7060901
MLS Listing,,Single Family Residential,4846 W Ferdinand St,Chicago,IL,60644,190000,4,1.5,CHI - Austin,1357,3123,1924,1,140,,Active,,,http://www.redfin.com/IL/Chicago/4846-W-Ferdinand-St-60644/home/13264849,MRED,11241597,N,Y,41.8897442,-87.7475186
MLS Listing,,Single Family Residential,1316 S 57th Ave,Cicero,IL,60804,219000,2,2.0,Cicero,1008,,1917,1,217,,Active,,,http://www.redfin.com/IL/Cicero/1316-S-57th-Ave-60804/home/13242122,MRED,11241558,N,Y,41.8630575,-87.7669851
