Date,LMP,HUB
10/25/2018 12:00:00 PM,34.6,LOUISIANA.HUB
10/25/2018 12:00:00 PM,41.47,MICHIGAN.HUB
10/25/2018 12:00:00 PM,39.18,MINN.HUB
10/25/2018 12:00:00 PM,33.88,MS.HUB
10/25/2018 12:00:00 PM,34,TEXAS.HUB
10/25/2018 1:00:00 PM,32.75,ARKANSAS.HUB
10/25/2018 1:00:00 PM,34.66,ILLINOIS.HUB
10/25/2018 1:00:00 PM,35.82,INDIANA.HUB
10/25/2018 1:00:00 PM,33.74,LOUISIANA.HUB
10/25/2018 1:00:00 PM,36.87,MICHIGAN.HUB
10/25/2018 1:00:00 PM,34.61,MINN.HUB
10/25/2018 1:00:00 PM,33.17,MS.HUB
10/25/2018 1:00:00 PM,33.11,TEXAS.HUB
10/25/2018 2:00:00 PM,30.87,ARKANSAS.HUB
10/25/2018 2:00:00 PM,31.83,ILLINOIS.HUB
10/25/2018 2:00:00 PM,32.97,INDIANA.HUB
10/25/2018 2:00:00 PM,31.9,LOUISIANA.HUB
10/25/2018 2:00:00 PM,33.95,MICHIGAN.HUB
10/25/2018 2:00:00 PM,31.42,MINN.HUB
10/25/2018 2:00:00 PM,31.33,MS.HUB
10/25/2018 2:00:00 PM,19.17,TEXAS.HUB
10/25/2018 3:00:00 PM,29.92,ARKANSAS.HUB
10/25/2018 3:00:00 PM,30.69,ILLINOIS.HUB
10/25/2018 3:00:00 PM,31.84,INDIANA.HUB
10/25/2018 3:00:00 PM,30.89,LOUISIANA.HUB
10/25/2018 3:00:00 PM,32.88,MICHIGAN.HUB
10/25/2018 3:00:00 PM,30.23,MINN.HUB
10/25/2018 3:00:00 PM,30.39,MS.HUB
10/25/2018 3:00:00 PM,30.71,TEXAS.HUB
10/25/2018 4:00:00 PM,30.49,ARKANSAS.HUB
10/25/2018 4:00:00 PM,31.26,ILLINOIS.HUB
10/25/2018 4:00:00 PM,32.57,INDIANA.HUB
10/25/2018 4:00:00 PM,31.53,LOUISIANA.HUB
10/25/2018 4:00:00 PM,33.64,MICHIGAN.HUB
10/25/2018 4:00:00 PM,30.8,MINN.HUB
10/25/2018 4:00:00 PM,31.03,MS.HUB
10/25/2018 4:00:00 PM,31.24,TEXAS.HUB
10/25/2018 5:00:00 PM,33.38,ILLINOIS.HUB
10/25/2018 5:00:00 PM,34.83,INDIANA.HUB
10/25/2018 5:00:00 PM,36.01,MICHIGAN.HUB
10/25/2018 5:00:00 PM,32.99,MINN.HUB
10/25/2018 5:00:00 PM,32.31,ARKANSAS.HUB
10/25/2018 5:00:00 PM,33.3,LOUISIANA.HUB
10/25/2018 5:00:00 PM,32.89,MS.HUB
10/25/2018 5:00:00 PM,32.91,TEXAS.HUB
10/25/2018 6:00:00 PM,39.25,ILLINOIS.HUB
10/25/2018 6:00:00 PM,41.09,INDIANA.HUB
10/25/2018 6:00:00 PM,47.75,MICHIGAN.HUB
10/25/2018 6:00:00 PM,38.21,MINN.HUB
10/25/2018 6:00:00 PM,34.3,ARKANSAS.HUB
10/25/2018 6:00:00 PM,36.46,LOUISIANA.HUB
10/25/2018 6:00:00 PM,36.47,MS.HUB
10/25/2018 6:00:00 PM,35.28,TEXAS.HUB
10/25/2018 7:00:00 PM,37.08,ILLINOIS.HUB
10/25/2018 7:00:00 PM,38.77,INDIANA.HUB
