SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,4800 S Saint Lawrence Ave Unit 2S,Chicago,IL,60615,249900,3,2.0,CHI - Grand Boulevard,1700,,2003,1,147,243,Active,October-9-2021 10:00 AM,October-9-2021 12:00 PM,http://www.redfin.com/IL/Chicago/4800-S-St-Lawrence-Ave-60615/unit-2S/home/18912524,MRED,11240203,N,Y,41.8074865,-87.6117533
MLS Listing,,Single Family Residential,3606 W 68th St,Chicago,IL,60638,249900,4,2.0,CHI - West Lawn,1877,6229,1926,2,133,,Active,,,http://www.redfin.com/IL/Chicago/3606-W-68th-St-60629/home/176651532,MRED,11227405,N,Y,41.7698733,-87.7131437
MLS Listing,,Multi-Family (2-4 Unit),5015 S Talman Ave,Chicago,IL,60632,317000,7,2.0,CHI - Gage Park,,3484,1927,11,,,Active,October-9-2021 03:00 PM,October-9-2021 04:30 PM,http://www.redfin.com/IL/Chicago/5015-S-Talman-Ave-60632/unit-1/home/14017966,MRED,11220908,N,Y,41.8023836,-87.6901078
MLS Listing,,Condo/Co-op,4902 S Vincennes Ave #2,Chicago,IL,60615,270000,3,2.0,CHI - Grand Boulevard,1536,,2007,38,176,305,Active,,,http://www.redfin.com/IL/Chicago/4902-S-Vincennes-Ave-60615/unit-2/home/26796190,MRED,11191985,N,Y,41.8055422,-87.6142069
MLS Listing,,Multi-Family (2-4 Unit),7940 S Peoria St,Chicago,IL,60620,290000,5,2.0,CHI - Auburn Gresham,,3920,1908,42,,,Active,,,http://www.redfin.com/IL/Chicago/7940-S-Peoria-St-60620/unit-1/home/13906154,MRED,11194506,N,Y,41.7493635,-87.6468407
MLS Listing,,Condo/Co-op,5404 S Michigan Ave Unit 2N,Chicago,IL,60615,285000,3,2.0,CHI - Washington Park,2200,,,63,130,355,Active,,,http://www.redfin.com/IL/Chicago/5404-S-Michigan-Ave-60615/unit-2N/home/12691870,MRED,11173857,N,Y,41.796324,-87.6229957
MLS Listing,,Condo/Co-op,5471 S Hyde Park Blvd Unit 11B,Chicago,IL,60615,249990,3,2.0,CHI - Hyde Park,1700,,1968,105,147,1086,Active,October-9-2021 12:00 PM,October-9-2021 02:00 PM,http://www.redfin.com/IL/Chicago/5471-S-Hyde-Park-Blvd-60615/unit-11B/home/13946651,MRED,11114300,N,Y,41.7961296,-87.5837119
Redfin Data,,Condo/Co-op,5555 S Everett Ave Unit D10,Chicago,IL,60637,272990,3,2.0,Chicago,2000,,1922,1,136,1827,Pre On-Market,,,http://www.redfin.com/IL/Chicago/5555-S-Everett-Ave-60637/unit-D10/home/145590838,Coming Soon,77531,N,Y,41.7938012,-87.581985
MLS Listing,,Single Family Residential,3242 W 85th St,Chicago,IL,60652,220000,3,1.0,CHI - Ashburn,1299,4373,1954,1,169,,Active,,,http://www.redfin.com/IL/Chicago/3242-W-85th-St-60652/home/13965657,MRED,11241994,N,Y,41.7390467,-87.7038098
MLS Listing,,Condo/Co-op,6712 S Ridgeland Ave Unit 2A,Chicago,IL,60649,85000,1,1.0,CHI - South Shore,950,,1918,1,89,,Active,,,http://www.redfin.com/IL/Chicago/6712-S-Ridgeland-Ave-60649/unit-2A/home/28523927,MRED,11241993,N,Y,41.7731,-87.582884
MLS Listing,,Single Family Residential,1803 W 58th St,Chicago,IL,60636,139900,4,2.0,CHI - West Englewood,1086,,1915,1,129,,Active,,,http://www.redfin.com/IL/Chicago/1803-W-58th-St-60636/home/13938416,MRED,11241973,N,Y,41.7882857,-87.6695752
MLS Listing,,Multi-Family (2-4 Unit),8409 S Burley Ave,Chicago,IL,60617,145000,4,2.0,Busch,,,1952,1,,,Active,,,http://www.redfin.com/IL/Chicago/8409-S-Burley-Ave-60617/home/13212803,MRED,11241972,N,Y,41.7425802,-87.5452062
MLS Listing,,Condo/Co-op,5220 S Michigan Ave #2,Chicago,IL,60615,179900,3,2.0,CHI - Washington Park,1200,,2005,1,150,,Active,,,http://www.redfin.com/IL/Chicago/5220-S-Michigan-Ave-60615/unit-2/home/26824437,MRED,11241952,N,Y,41.7995078,-87.6229957
MLS Listing,,Vacant Land,3408 W 84th St,Chicago,IL,60652,79900,,,CHI - Ashburn,,,,1,,,Active,,,http://www.redfin.com/IL/Chicago/3408-W-84th-St-60652/home/22672471,MRED,11241912,N,Y,41.7408462,-87.7074244
MLS Listing,,Multi-Family (2-4 Unit),8017 S Maryland Ave S,Chicago,IL,60619,313000,9,6.0,CHI - Chatham,,,1927,1,,,Active,,,http://www.redfin.com/IL/Chicago/8017-S-Maryland-Ave-60619/unit-2205A/home/13223420,MRED,11241890,N,Y,41.7488984,-87.6035899
MLS Listing,,Single Family Residential,9933 S Oakley Ave,Chicago,IL,60643,415000,3,2.5,CHI - Beverly,1508,5279,1943,1,275,,Active,October-24-2021 01:00 PM,October-24-2021 03:00 PM,http://www.redfin.com/IL/Chicago/9933-S-Oakley-Ave-60643/home/13097117,MRED,11241889,N,Y,41.7126683,-87.6791377
MLS Listing,,Multi-Family (2-4 Unit),824 E 89th St,Chicago,IL,60619,235000,5,2.0,CHI - Chatham,,,2009,1,,,Active,,,http://www.redfin.com/IL/Chicago/824-E-89th-St-60619/home/21759551,MRED,11241887,N,Y,41.7332368,-87.6036138
MLS Listing,,Townhouse,7858 S South Shore Dr Unit G,South Shore,IL,60649,75000,2,1.0,South Shore,1040,,1951,1,72,200,Active,,,http://www.redfin.com/IL/Chicago/7858-S-South-Shore-Dr-60649/unit-G/home/13215653,MRED,11241873,N,Y,41.7524958,-87.54926
MLS Listing,,Single Family Residential,5228 S Maplewood Ave,Chicago,IL,60632,249900,4,1.0,CHI - Gage Park,1400,,1912,1,179,,Active,,,http://www.redfin.com/IL/Chicago/5228-S-Maplewood-Ave-60632/home/14017108,MRED,11241819,N,Y,41.7983759,-87.6880724
MLS Listing,,Multi-Family (2-4 Unit),6832 S Dorchester Ave,Chicago,IL,60637,279900,6,2.0,CHI - South Shore,,,1903,1,,,Active,,,http://www.redfin.com/IL/Chicago/6832-S-Dorchester-Ave-60637/home/13926633,MRED,11241804,N,Y,41.7704923,-87.5914308
